"group_id","group_name","subclass_id"
1,ATP,13
2,ITF,13
3,ENG,49
4,EURO,49
5,AA,49
6,A,49
7,B,49
8,C,49
9,D,49
10,E,49
11,UK-IE,23
12,FRA,23
13,US1,23
14,US2,23
15,US3,23
16,UAE,23
17,SA,23
18,ROW,23
19,NORTHHEMA,27
20,SOUTHHEMA,27
21,RUsevensB,12
22,RUnorthA,12
23,RUsouthB,12
24,RUsevensA,12
25,RUsouthA,12
26,RUnorthC,12
27,RUnorthB,12
28,RUspecials,12
29,RUnorthAA,12
30,RUsouthC,12
31,CricketD,31
32,CricketB,31
33,CricketC,31
34,CricketA,31
35,CRImultiB,31
36,CRIoutrB,31
37,CRIoutrA,31
38,CRImultiA,31
39,CRImultiC,31
40,CRIspecial,31
41,CRIoutrC,31
42,F,49
43,UK-IE ELITE,23
45,GolfAA,7
46,GolfA,7
47,GolfB,7
48,GolfC,7
49,GolfSpec,7
50,DartsAA,14
51,DartsA,14
52,DartsB,14
53,DartsC,14
54,DartsSpec,14
55,BBtierINT,146
56,BBtier1,146
57,BBtier2,146
58,BBtierLOW,146
